Level	L-AC	L-AC(N)	L-AC(H)	L-TH	L-TH(N)	L-TH(H)	L-HP	L-HP(N)	L-HP(H)	L-DM	L-DM(N)	L-DM(H)	L-XP	L-XP(N)	L-XP(H)
69	0	0	0	738	1332	2800	525	1651	4342	43	57	80	4293	19634	29451
70	0	0	0	749	1350	2838	539	1685	4457	43	57	80	4397	20540	30810
71	0	0	0	760	1368	2876	552	1720	4572	44	59	81	4501	21446	32169
72	0	0	0	771	1386	2914	565	1753	4687	44	59	81	4605	22352	33528
73	0	0	0	782	1404	2952	579	1788	4802	45	60	83	4709	23258	34887
74	0	0	0	793	1422	2990	592	1821	4917	46	61	85	4813	24164	36246
75	0	0	0	804	1440	3028	605	1856	5032	46	61	85	4917	25070	37605
76	0	0	0	815	1458	3066	618	1891	5147	47	63	87	5021	25976	38964
77	0	0	0	826	1476	3104	632	1924	5262	47	63	87	5125	26882	40323
78	0	0	0	837	1494	3142	645	1959	5377	48	64	89	5229	27788	41682
79	0	0	0	848	1512	3180	658	1992	5492	49	65	91	5333	28694	43041
80	0	0	0	859	1530	3218	673	2027	5607	49	65	91	5437	29600	44400
81	0	0	0	870	1548	3256	688	2061	5722	50	67	93	5541	30506	45759
82	0	0	0	881	1566	3294	702	2095	5837	50	67	93	5645	31412	47118
83	0	0	0	892	1584	3332	717	2129	5952	51	68	94	5749	32318	48477
84	0	0	0	903	1602	3370	732	2163	6067	51	68	94	5853	33224	49836
85	0	0	0	914	1620	3408	746	2197	6182	52	69	96	5957	34130	51195
86	0	0	0	925	1638	3446	761	2232	6297	53	70	98	6061	35036	52554
87	0	0	0	936	1656	3484	775	2265	6412	53	70	98	6165	35942	53913
88	0	0	0	947	1674	3522	790	2300	6527	54	72	100	6269	36848	55272
89	0	0	0	958	1692	3560	805	2333	6642	55	73	102	6373	37754	56631
90	0	0	0	969	1710	3598	821	2368	6757	55	73	102	6477	38660	57990
91	0	0	0	980	1728	3636	837	2403	6872	56	74	104	6581	39566	59349
92	0	0	0	991	1746	3674	853	2436	6987	56	74	104	6685	40472	60708
93	0	0	0	1002	1764	3712	868	2471	7102	57	76	105	6789	41378	62067
94	0	0	0	1013	1782	3750	884	2504	7217	58	77	107	6893	42284	63426
95	0	0	0	1024	1800	3788	900	2539	7332	58	77	107	6997	43190	64785
96	0	0	0	1035	1818	3826	916	2573	7447	59	78	109	7101	44096	66144
97	0	0	0	1046	1836	3864	932	2607	7562	59	78	109	7205	45002	67503
98	0	0	0	1057	1854	3902	948	2641	7677	60	80	111	7309	45908	68862
99	0	0	0	1068	1872	3940	964	2675	7792	60	80	111	7413	46814	70221
100	0	0	0	1079	1890	3978	982	2709	7907	61	81	113	7517	47720	71580
101	0	0	0	1090	1908	4016	999	2744	8022	62	82	115	7621	48626	72939
102	0	0	0	1101	1926	4054	1016	2777	8137	62	82	115	7725	49532	74298
103	0	0	0	1112	1944	4092	1033	2812	8252	63	84	117	7829	50438	75657
104	0	0	0	1123	1962	4130	1051	2845	8367	63	84	117	7933	51344	77016
105	0	0	0	1134	1980	4168	1068	2880	8482	64	85	118	8037	52250	78375
106	0	0	0	1145	1998	4206	1085	2915	8597	65	86	120	8141	53156	79734
107	0	0	0	1156	2016	4244	1103	2948	8712	65	86	120	8245	54062	81093
108	0	0	0	1167	2034	4282	1120	2983	8827	66	88	122	8349	54968	82452
109	0	0	0	1178	2052	4320	1137	3016	8942	67	89	124	8453	55874	83811
110	0	0	0	6532	6532	6532	10000	10000	10000	130	130	130	160000	160000	160000
